,title,Directed by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),imdb,metascore,rotten_tomatoes,Based on,Production companies,Release date,Production company,Written by,Narration by,Languages,Countries,Narrated by,Japanese,Hepburn,Simplified,Mandarin
45,Ponyo,Hayao Miyazaki,,,Toshio Suzuki,"['Tomoko Yamaguchi', 'Kazushige Nagashima', 'Yūki Amami', 'George Tokoro', 'Yuria Nara', 'Hiroki Doi', 'Rumi Hiiragi', 'Akiko Yano', 'Kazuko Yoshiyuki', 'Tomoko Naraoka']",Atsushi Okui,Takeshi Seyama,Joe Hisaishi,Toho,,101 minutes,Japan,Japanese,"['¥', '3.4 billion', '(', 'US$', '34 million)']",US$ 204.8 million,101.0,,,2008-07-19,7.6,86,91%,"['The Little Mermaid', 'by', 'Hans Christian Andersen']",,"['July 19, 2008 ( 2008-07-19 )']",Studio Ghibli,Hayao Miyazaki,,,,,崖の上のポニョ,Gake no Ue no Ponyo,,
46,The Informant!,Steven Soderbergh,Scott Z. Burns,,"['Gregory Jacobs', 'Jennifer Fox', 'Michael Jaffe', 'Howard Braunstein', 'Kurt Eichenwald']","['Matt Damon', 'Scott Bakula', 'Joel McHale', 'Melanie Lynskey']",Peter Andrews,Stephen Mirrione,Marvin Hamlisch,Warner Bros. Pictures,,108 minutes,United States,English,$22 million,$41.8 million,108.0,22000000.0,41800000.0,2009-09-18,6.5,66,79%,"['The Informant', 'by', 'Kurt Eichenwald']","['Participant Media', 'Groundswell Productions', 'Section Eight']","['September 18, 2009 ( 2009-09-18 )']",,,,,,,,,,
47,Invictus,Clint Eastwood,Anthony Peckham,,"['Clint Eastwood', 'Lori McCreary', 'Robert Lorenz', 'Mace Neufeld']","['Morgan Freeman', 'Matt Damon']",Tom Stern,"['Joel Cox', 'Gary D. Roach']","['Kyle Eastwood', 'Michael Stevens']",Warner Bros. Pictures,,133 minutes,,,$50–60 million,$122.2 million,133.0,50000000.0,122200000.0,2009-12-11,7.3,74,76%,"['Playing the Enemy: Nelson Mandela and the Game that Made a Nation', '2008 book', 'by', 'John Carlin']","['Spyglass Entertainment', 'Malpaso Productions', 'Revelations Entertainment', 'Mace Neufeld Productions', 'Liberty Pictures']","['December 11, 2009 ( 2009-12-11 )']",,,,"['Afrikaans', 'English', 'Māori', 'Southern Sotho', 'Xhosa', 'Zulu']","['South Africa', 'United States']",,,,,
48,Green Zone,Paul Greengrass,,,"['Tim Bevan', 'Eric Fellner', 'Lloyd Levin', 'Paul Greengrass']","['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']",Barry Ackroyd,Christopher Rouse,John Powell,"['Universal Pictures (International)', 'StudioCanal (France)']","['February 26, 2010 ( 2010-02-26 ) ( YIFFF )', 'March 12, 2010 ( 2010-03-12 ) (United States and United Kingdom)']",115 minutes,,,$100 million,$94.9 million,115.0,100000000.0,94900000.0,,6.8,63,53%,"['Imperial Life in the Emerald City', 'by', 'Rajiv Chandrasekaran']","['Working Title Films', 'StudioCanal', 'Relativity Media', 'Antena 3 Films', 'Dentsu']",,,Brian Helgeland,,"['English', 'Arabic']","['France', 'Spain', 'United States', 'United Kingdom']",,,,,
49,Hereafter,Clint Eastwood,,,"['Clint Eastwood', 'Kathleen Kennedy', 'Robert Lorenz']","['Matt Damon', 'Cécile de France']",Tom Stern,"['Joel Cox', 'Gary D. Roach']",Clint Eastwood,Warner Bros. Pictures,"['September 12, 2010 ( 2010-09-12 ) ( TIFF )', 'October 22, 2010 ( 2010-10-22 ) (United States)']",129 minutes,United States,,$50 million,$107 million,129.0,50000000.0,107000000.0,,6.5,56,47%,,"['The Kennedy/Marshall Company', 'Malpaso Productions', 'Amblin Entertainment']",,,Peter Morgan,,"['English', 'French']",,,,,,
50,True Grit,"['Joel Coen', 'Ethan Coen']",,,"['Joel Coen', 'Ethan Coen', 'Scott Rudin']","['Jeff Bridges', 'Matt Damon', 'Josh Brolin', 'Hailee Steinfeld', 'Barry Pepper']",Roger Deakins,Roderick Jaynes,Carter Burwell,Paramount Pictures,,110 minutes,United States,English,$35–38 million,$252.3 million,110.0,35000000.0,252300000.0,2010-12-22,7.6,80,95%,"['True Grit', 'by', 'Charles Portis']","['Skydance Productions', 'Mike Zoss Productions', 'Scott Rudin Productions']","['December 22, 2010 ( 2010-12-22 ) (United States)']",,"['Joel Coen', 'Ethan Coen']",,,,,,,,
51,Inside Job,Charles Ferguson,,,"['Audrey Marrs', 'Charles Ferguson']",,"['Svetlana Cvetko', 'Kalyanee Mam']","['Chad Beck', 'Adam Bolt']",Alex Heffes,Sony Pictures Classics,"['May 16, 2010 ( 2010-05-16 ) ( Cannes )', 'October 8, 2010 ( 2010-10-08 ) (United States)']",108 minutes,United States,English,$2 million,$7.9 million,108.0,2000000.0,7900000.0,,8.2,88,98%,,,,,,,,,Matt Damon,,,,
52,The Adjustment Bureau,George Nolfi,George Nolfi,,"['Michael Hackett', 'George Nolfi', 'Bill Carraro', 'Chris Moore']","['Matt Damon', 'Emily Blunt', 'Anthony Mackie', 'John Slattery', 'Michael Kelly', 'Terence Stamp']",John Toll,Jay Rabinowitz,Thomas Newman,Universal Pictures,"['February 14, 2011 ( 2011-02-14 ) ( Ziegfeld Theatre )', 'March 4, 2011 ( 2011-03-04 ) (United States)']",106 minutes,United States,English,$50.2 million,$127.9 million,106.0,50200000.0,127900000.0,,7.0,60,71%,"['""', 'Adjustment Team', '""', 'by', 'Philip K. Dick']","['Media Rights Capital', 'Gambit Pictures', 'Electric Shepherd Productions']",,,,,,,,,,,
53,Contagion,Steven Soderbergh,,,"['Michael Shamberg', 'Stacey Sher', 'Gregory Jacobs']","['Marion Cotillard', 'Matt Damon', 'Laurence Fishburne', 'Jude Law', 'Gwyneth Paltrow', 'Kate Winslet', 'Bryan Cranston', 'Jennifer Ehle', 'Sanaa Lathan']",Peter Andrews,Stephen Mirrione,Cliff Martinez,Warner Bros. Pictures,"['September 3, 2011 ( 2011-09-03 ) ( Venice )', 'September 9, 2011 ( 2011-09-09 ) (United States)']",106 minutes,United States,English,$60 million,$136.5 million,106.0,60000000.0,136500000.0,,6.8,70,85%,,"['Participant Media', 'Imagenation Abu Dhabi', 'Double Feature Films']",,,Scott Z. Burns,,,,,,,,
54,Margaret,Kenneth Lonergan,,,"['Sydney Pollack', 'Gary Gilbert', 'Scott Rudin']","['Anna Paquin', 'J. Smith-Cameron', 'Jean Reno', 'Allison Janney', 'Matthew Broderick', 'Mark Ruffalo', 'Matt Damon', 'Jeannie Berlin', 'Kieran Culkin']",Ryszard Lenczewski,"['Anne McCabe', 'Michael Fay']",Nico Muhly,Fox Searchlight Pictures,,"['150 minutes', '186 minutes', '(', 'Extended cut', ')']",United States,English,$14 million,"$623,292",150.0,14000000.0,623292.0,2011-09-30,6.5,61,75%,,"['Camelot Pictures', 'Gilbert Films', 'Mirage Enterprises', 'Scott Rudin Productions']","['September 30, 2011 ( 2011-09-30 )']",,Kenneth Lonergan,,,,,,,,
